capitulo,descricao
01,Animais vivos
02,Carnes e miudezas comestíveis
03,"Peixes, crustáceos e moluscos"
04,Leite e laticínios; ovos; mel natural
05,Outros produtos de origem animal
06,Plantas vivas e produtos de floricultura
07,Produtos hortícolas e tubérculos comestíveis
08,Frutas
09,"Café, chá, mate e especiarias"
10,Cereais
11,Produtos da moagem; malte; amidos e féculas
12,Sementes e frutos oleaginosos; plantas industriais ou medicinais
13,"Gomas, resinas e extratos vegetais"
14,Outros produtos de origem vegetal
15,Gorduras e óleos animais ou vegetais
16,"Preparações de carne, peixes ou crustáceos"
17,Açúcares e produtos de confeitaria
18,Cacau e suas preparações
19,Preparações à base de cereais ou leite; produtos de pastelaria
20,Preparações de hortícolas e frutas
21,Preparações alimentícias diversas
22,Bebidas e vinagres
23,Resíduos das indústrias alimentares; alimentos para animais
24,Tabaco
25,"Sal; enxofre; terras e pedras; gesso, cal e cimento"
26,"Minérios, escórias e cinzas"
27,"Combustíveis e óleos minerais"
28,Produtos químicos inorgânicos
29,Produtos químicos orgânicos
30,Produtos farmacêuticos
31,Adubos (fertilizantes)
32,"Tintas, vernizes e corantes"
33,Óleos essenciais; perfumaria e higiene pessoal
34,"Sabões, produtos de limpeza, ceras e velas"
35,Colas; enzimas; matérias albuminoides
36,Pólvoras e explosivos; fósforos
37,Produtos para fotografia e cinematografia
38,Produtos diversos das indústrias químicas
39,Plásticos e suas obras
40,Borracha e suas obras
41,Peles e couros
42,Obras de couro; artigos de viagem e bolsas
43,Peles com pelo e suas obras
44,"Madeira, carvão vegetal e obras de madeira"
45,Cortiça e suas obras
46,Obras de cestaria
47,Pastas de madeira e celulose
48,Papel e cartão e suas obras
49,Livros e produtos das indústrias gráficas
50,Seda
51,Lã e pelos
52,Algodão
53,Outras fibras têxteis vegetais
54,Filamentos sintéticos ou artificiais
55,Fibras sintéticas ou artificiais descontínuas
56,Feltros e falsos tecidos; cordoaria
57,Tapetes e revestimentos têxteis para pisos
58,Tecidos especiais; rendas; bordados
59,Tecidos impregnados ou revestidos
60,Tecidos de malha
61,Vestuário de malha
62,"Vestuário, exceto de malha"
63,Outros artefatos têxteis confeccionados
64,Calçados
65,Chapéus
66,"Guarda-chuvas, bengalas e chicotes"
67,Penas preparadas; flores artificiais
68,"Obras de pedra, gesso e cimento"
69,Produtos cerâmicos
70,Vidro e suas obras
71,"Pérolas, pedras e metais preciosos; bijuterias"
72,"Ferro fundido, ferro e aço"
73,"Obras de ferro fundido, ferro ou aço"
74,Cobre e suas obras
75,Níquel e suas obras
76,Alumínio e suas obras
78,Chumbo e suas obras
79,Zinco e suas obras
80,Estanho e suas obras
81,Outros metais comuns
82,"Ferramentas, cutelaria e talheres"
83,Obras diversas de metais comuns
84,"Máquinas, caldeiras e aparelhos mecânicos"
85,Máquinas e materiais elétricos e eletrônicos
86,Veículos e material ferroviário
87,"Veículos automóveis, tratores e ciclos"
88,Aeronaves e aparelhos espaciais
89,Embarcações
90,"Instrumentos de óptica, medida e médico-cirúrgicos"
91,Relojoaria
92,Instrumentos musicais
93,Armas e munições
94,"Móveis; colchões; iluminação; pré-fabricados"
95,"Brinquedos, jogos e artigos esportivos"
96,Obras diversas
97,"Objetos de arte, de coleção e antiguidades"
